postal_code,place_name,district_code,district_name,province,post_office_type
60025,Ithanawatta,KG,Kurunegala,North Western Province,Sub Post Office
82462,Ittademaliya,HB,Hambantota,Southern Province,Sub Post Office
70342,Ittekanda,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
12116,Ittepana,KT,Kalutara,Western Province,Main Post Office
42556,Iyakachchi,KO,Kilinochchi,Northern Province,Sub Post Office
11350,Ja-Ela,GQ,Gampaha,Western Province,Main Post Office
40000,Jaffna,JA,Jaffna,Northern Province,Main Post Office
20822,Jambugahapitiya,KY,Kandy,Central Province,Sub Post Office
90063,Jangulla,BD,Badulla,Uva Province,Sub Post Office
51024,Jayanthipura,PR,Polonnaruwa,North Central Province,Main Post Office
51246,Jayasiripura,PR,Polonnaruwa,North Central Province,Sub Post Office
82252,Julampitiya,HB,Hambantota,Southern Province,Sub Post Office
71202,Kabagamuwa,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
11850,Kadawatha,GQ,Gampaha,Western Province,Main Post Office
31212,Kaddaiparichchan,TC,Trincomalee,Eastern Province,Sub Post Office
60492,Kadigawa,KG,Kurunegala,North Western Province,Sub Post Office
20300,Kadugannawa,KY,Kandy,Central Province,Main Post Office
10640,Kaduwela,CO,Colombo,Western Province,Main Post Office
50282,Kagama,AD,Anuradhapura,North Central Province,Sub Post Office
80460,Kahaduwa,GL,Galle,Southern Province,Main Post Office
82126,Kahandamodara,HB,Hambantota,Southern Province,Sub Post Office
70016,Kahangama,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
60062,Kahapathwala,KG,Kurunegala,North Western Province,Sub Post Office
50320,Kahatagasdigiliya,AD,Anuradhapura,North Central Province,Main Post Office
50562,Kahatagollewa,AD,Anuradhapura,North Central Province,Sub Post Office
20924,Kahataliyadda,KY,Kandy,Central Province,Sub Post Office
90052,Kahataruppa,BD,Badulla,Uva Province,Sub Post Office
11144,Kahatowita,GQ,Gampaha,Western Province,Sub Post Office
80312,Kahawa,GL,Galle,Southern Province,Sub Post Office
